game,date,time,place,lat,long,type,season
Cosmos Quimper - Piliers Kernilis,2022-09-11,10:00:00,Penvillers,,,championnat,2022-2023
Piliers Kernilis - Saint-Évarzec,2022-09-25,10:00:00,Kernilis,48.0288,-4.0966,championnat,2022-2023
Piliers Kernilis - Les Glénan,2022-10-09,10:00:00,Kernilis,48.0288,-4.0966,championnat,2022-2023
Piliers Kernilis - Ergué-Armel Foot Corpo,2022-10-23,10:00:00,Kernilis,48.0288,-4.0966,championnat,2022-2023
Piliers Kernilis - Racing Corpo Kemper,2022-11-06,10:00:00,Kernilis,48.0288,-4.0966,championnat,2022-2023
Olympique Creac’h Gwen - Piliers Kernilis,2022-11-27,10:00:00,Creac’h Gwen,,,championnat,2022-2023
Piliers Kernilis - FC Beegood United,2022-12-11,10:00:00,Kernilis,48.0288,-4.0966,championnat,2022-2023
AS Cap-Horn - Piliers Kernilis,2022-12-18,10:00:00,Penvillers,,,championnat,2022-2023
Piliers Kernilis - Les Loups De Ploneour,2023-01-22,10:00:00,Kernilis,48.0288,-4.0966,championnat,2022-2023
Piliers Kernilis - Galactics,2023-01-29,10:00:00,Kernilis,48.0288,-4.0966,championnat,2022-2023
Piliers Kernilis - Cosmos Quimper,2023-02-05,10:00:00,Kernilis,48.0288,-4.0966,championnat,2022-2023
Saint-Évarzec - Piliers Kernilis,2023-02-26,10:00:00,Saint-Évarzec,,,championnat,2022-2023
Les Glénan - Piliers Kernilis,2023-03-05,10:00:00,Fouesnant,,,championnat,2022-2023
Ergué-Armel Foot Corpo - Piliers Kernilis,2023-03-12,10:00:00,Stade Jean Brélivet,,,championnat,2022-2023
Racing Corpo Kemper - Piliers Kernilis,2023-03-26,10:00:00,Stade Jean Brélivet,,,championnat,2022-2023
Piliers Kernilis - Olympique Creac’h Gwen,2023-04-02,10:00:00,Kernilis,48.0288,-4.0966,championnat,2022-2023
FC Beegood United - Piliers Kernilis,2023-04-23,10:00:00,Plomeur,,,championnat,2022-2023
Piliers Kernilis - AS Cap-Horn,2023-05-07,10:00:00,Kernilis,48.0288,-4.0966,championnat,2022-2023
Les Loups De Ploneour - Piliers Kernilis,2023-05-08,10:00:00,Plonéour-Lanvern,,,championnat,2022-2023
Galactics - Piliers Kernilis,2023-06-04,10:00:00,Gouesnach,,,championnat,2022-2023
Piliers - Concarneau,2022-08-28,10:00:00,Kernilis,,,amical,2022-2023
Ergué-Armel Corpo - Piliers,2022-09-04,10:00:00,Stade Jean Brélivet,,,amical,2022-2023
Sticmoux - Piliers,2022-09-18,10:00:00,Pluguffan,,,coupe,2022-2023
Clohars Fouesnant — Piliers Kernilis,2022-10-02,10:00:00,Clohars Fouesnant,,,coupe,2022-2023
Piliers Kernilis ― Concarneau,2022-10-16,10:00:00,Penvillers,,,coupe,2022-2023
A.S. Cuzon — Piliers Kernilis,2022-11-20,10:00:00,Stade Jean Brélivet,,,coupe,2022-2023
Piliers Kernilis ― Saint Évarzec,2022-12-04,10:00:00,Kernilis,,,coupe,2022-2023
Piliers Kernilis ― Entente Kernilis (1/4 finale),2023-03-19,10:00:00,Kernilis,,,coupe,2022-2023
Glénan – Piliers (1/2 finale),2023-05-14,10:00:00,Fouesnant,,,coupe,2022-2023
Piliers Kernilis — Cuzon,2023-05-21,10:00:00,Kernilis,,,amical,2022-2023
