game,date,time,place,lat,long,type,season
Piliers - Concarneau,2022-08-28,10:00:00,Kernilis,,,amical,2022-2023
Ergué-Armel Corpo - Piliers,2022-09-04,10:00:00,Stade Jean Brélivet,,,amical,2022-2023
Sticmoux - Piliers,2022-09-18,10:00:00,Pluguffan,,,coupe,2022-2023
Clohars Fouesnant — Piliers Kernilis,2022-10-02,10:00:00,Clohars Fouesnant,,,coupe,2022-2023
Piliers Kernilis ― Concarneau,2022-10-16,10:00:00,Penvillers,,,coupe,2022-2023
A.S. Cuzon — Piliers Kernilis,2022-11-20,10:00:00,Stade Jean Brélivet,,,coupe,2022-2023
Piliers Kernilis ― Saint Évarzec,2022-12-04,10:00:00,Kernilis,,,coupe,2022-2023
Piliers Kernilis ― Entente Kernilis (1/4 finale),2023-03-19,10:00:00,Kernilis,,,coupe,2022-2023
Glénan – Piliers (1/2 finale),2023-05-14,10:00:00,Fouesnant,,,coupe,2022-2023
Piliers Kernilis — Cuzon,2023-05-21,10:00:00,Kernilis,,,amical,2022-2023
