id,game_title,game_team_home,game_team_away,game_date,game_time,game_score,goals_for,goals_against,game_goals,game_assists,game_redcards,game_yellowcards,game_status,game_type,game_poll,game_season,game_ground
1,Piliers Kernilis — AS Cuzon,20,7,2024-09-08,10:00:00,0-0,0,0,,,,,planned,championnat,161,2024-2025,2
2,Le Vallon — Piliers Kernilis,16,20,2024-09-22,10:00:00,0-0,0,0,,,,,planned,championnat,162,2024-2025,2
3,Entente Kernilis — Piliers Kernilis,12,20,2024-10-06,10:00:00,0-0,0,0,,,,,planned,championnat,163,2024-2025,2
4,Sticmoux NT — Piliers Kernilis,24,20,2024-11-03,10:00:00,0-0,0,0,,,,,planned,championnat,164,2024-2025,2
5,Piliers Kernilis — Douarnenez Korpo,20,10,2024-12-01,10:00:00,0-0,0,0,,,,,planned,championnat,165,2024-2025,2
6,Piliers Kernilis — Clohars Fouesnant Fc,20,8,2024-12-15,10:00:00,0-0,0,0,,,,,planned,championnat,166,2024-2025,2
7,Cosmos Quimper — Piliers Kernilis,9,20,2025-01-12,10:00:00,0-0,0,0,,,,,planned,championnat,167,2024-2025,2
8,Galactics — Piliers Kernilis,15,20,2025-01-19,10:00:00,0-0,0,0,,,,,planned,championnat,168,2024-2025,2
9,AS Cuzon — Piliers Kernilis,7,20,2025-01-26,10:00:00,0-0,0,0,,,,,planned,championnat,169,2024-2025,2
10,Piliers Kernilis — Le Vallon,20,16,2025-02-02,10:00:00,0-0,0,0,,,,,planned,championnat,170,2024-2025,2
11,Piliers Kernilis — Entente Kernilis,20,12,2025-02-23,10:00:00,0-0,0,0,,,,,planned,championnat,171,2024-2025,2
12,Piliers Kernilis — Sticmoux NT,20,24,2025-03-02,10:00:00,0-0,0,0,,,,,planned,championnat,172,2024-2025,2
13,Douarnenez Korpo — Piliers Kernilis,10,20,2025-03-23,10:00:00,0-0,0,0,,,,,planned,championnat,173,2024-2025,2
14,Clohars Fouesnant Fc — Piliers Kernilis,8,20,2025-04-06,10:00:00,0-0,0,0,,,,,planned,championnat,174,2024-2025,2
15,Piliers Kernilis — Cosmos Quimper,20,9,2025-04-27,10:00:00,0-0,0,0,,,,,planned,championnat,175,2024-2025,2
16,Piliers Kernilis — Galactics,20,15,2025-05-18,10:00:00,0-0,0,0,,,,,planned,championnat,176,2024-2025,2
